Code,Name,资产角色,当前价参考,轻仓观察区间,标准买点区间,强买点区间,不买/暂停区,下一笔合理金额,成立条件,风险暂停条件,来源日期
159516,半导体设备ETF,第一核心成长ETF,1.921,1.860–1.890,1.800–1.850,1.720–1.790,1.930以上不追；放量跌破1.700暂停,下一笔2–3万，最多分2次,半导体设备主线未退潮；科创50不破位；设备龙头不放量下跌；ETF回踩缩量且不破关键支撑；次日转强,连续净赎回；龙头放量破位；情绪温度≥4且高开冲高；跌破爆量K低点,2026-06-29
562500,机器人ETF,核心持有ETF,1.091,1.075–1.090,1.045–1.065,1.000–1.035,1.115以上不追；放量跌破0.990暂停,暂不主动新增；若止跌三部曲通过再1–2万,放量下跌结束；缩量企稳；不再创新低；机器人龙头止跌；次日红K确认,龙头继续破位；份额退潮；放量滞涨；情绪过热,2026-06-29
002594,比亚迪,2030战略观察个股,79.640,76.00–79.00,72.00–75.50,66.00–71.00,85.00以上不追；跌破65且基本面恶化暂停,仅三重确认后1–2万；不做T,海外销量/净利率/高端品牌/智能化/现金流至少3项改善；估值有安全垫；技术缩量回踩不破前低并站回20/60日线,海外受阻；价格战恶化；净利率长期低于3%-4%；现金流恶化；股价涨但利润不涨,2026-06-29
159338,中证A500ETF,低波权益底仓,1.323,1.305–1.315,1.285–1.300,1.260–1.280,1.335以上不追；指数放量破位暂停,下一笔4–5万，分2–3次,上证/中证A500/沪深300没有放量破位；成交额未连续萎缩；银行券商白酒中特估等权重未集体破位；ETF不是高开低走；缩量回踩,权重集体破位；大盘连续放量下跌；接近日内高点追涨,2026-06-29
516630,云计算ETF,泛AI过渡仓,1.620,1.570–1.600,1.520–1.560,1.450–1.500,1.660以上不追；跌破1.430暂停,原则不新增；只做反弹压缩或换仓,云计算重新强于159381；AI应用利润路径清晰；缩量回踩且无放量滞涨,继续弱于AI硬件；利好不涨；放量破位；机会成本低于核心ETF,2026-06-29
512890,红利低波ETF,低波权益稳定器,1.089,1.097–1.105,1.075–1.085,1.060–1.070,跌破1.055且收不回暂停,下一笔3–4万，分2次,银行/电力/运营商/煤炭没有集体放量破位；不是大盘恐慌被动下跌；回调缩量；不因浮亏补仓,高股息诱多；股价持续破位；红利权重集体下跌；放量跌破1.055,2026-06-29
511010,国债ETF,纯防御层,140.845,140.60–140.85,140.20–140.55,139.80–140.15,141.30以上不追；利率快速上行暂停,安全垫不足时优先补至30万以上,作为现金安全垫和心理稳定器；权益仓上升后保留防御层；不因短期跑输科技切走,利率快速上行；现金安全垫已显著超过目标且权益出现强回踩机会,2026-06-29
159381,创业板人工智能ETF,AI硬件增强ETF,1.408,1.380–1.400,1.340–1.370,1.280–1.330,1.430以上不追；放量跌破1.260暂停,下一笔2–3万，优先级低于159516,光模块/CPO/AI芯片龙头缩量企稳；创业板和科创50不破位；ETF回踩不破5/10日线；次日放量转强,硬件链龙头破位；研报催化高开低走；净赎回；估值透支,2026-06-29
562550,绿电ETF,新能源遗留仓,1.130,1.100–1.120,1.060–1.090,1.000–1.050,不使用新增买点；反弹至1.18以上优先复审减仓,0；只做反弹压缩或退出复审,新能源基本面改善且重新进入核心主线前只观察,供给过剩；资金占用核心主线；继续弱于A500和核心成长ETF,2026-06-29
511180,可转债ETF,弹性低波缓冲,12.550,12.45–12.55,12.25–12.40,12.05–12.20,12.70以上不追；放量跌破12.00暂停,下一笔5–6万，分3次,可转债ETF没有放量下跌；转债估值不过热；利率未快速上行；A股不是系统性连续杀跌；ETF横盘或小跌且分时不接近日内最低收盘,权益风险扩散；利率快速上行；转债估值明显过热；放量跌破12.00,2026-06-29
688083,中望软件,遗留仓,62.980,不设新增买点,不设新增买点,不设新增买点,反弹无量或继续弱于核心主线则退出复审,0；反弹压缩或退出复审,只有重新过主线/质量/买点三重验证才可升级，目前不新增,AI替代风险扩大；经营逻辑无法证伪；继续弱于核心资产,2026-06-29
510210,上证ETF,低波权益/遗留宽基,1.020,1.000–1.015,0.970–0.995,0.930–0.960,1.035以上不追；上证放量破位暂停,原则不新增；优先A500替代,宽基低波需要补充且A500未给更优买点；缩量回踩不破,与A500重复暴露；上证弱于A500；权重股破位,2026-06-29
601398,工商银行,红利现金流个股,7.220,7.05–7.18,6.80–7.00,6.50–6.75,7.35以上不追；银行资产质量恶化暂停,下一笔0.5–1万，慢建,分红连续性稳定；净息差/资产质量未超预期恶化；股息率有安全垫；缩量回踩或横盘止跌,净息差恶化超预期；不良率上行；仅因快分红而买,2026-06-29
588700,科创生物医药ETF,创新药观察ETF,0.974,0.940–0.965,0.900–0.930,0.850–0.890,1.000以上不追；跌破0.840暂停,仅价格提醒；满足四证据后二次确认1–2万,政策支付/临床价值/BD现金/商业化利润四证据模型改善；科创医药不放量破位；缩量回踩,临床/BD/商业化证据不足；单日情绪追高；创新药主题退潮,2026-06-29
600900,长江电力,红利现金流个股,待行情,缩量回踩至20日线附近,估值历史中低位且股息率达安全垫,市场错杀但现金流未变,公用事业政策/电价/来水风险恶化暂停,初始0.5–1万，慢建,分红连续性强；经营现金流覆盖分红；估值不高；缩量回踩或横盘止跌,资本开支恶化；分红削弱；政策冲击,2026-06-29
600941,中国移动,红利现金流个股,待行情,缩量回踩至20日线附近,估值安全垫确认,市场错杀但现金流未变,运营商集体放量破位暂停,初始0.5–1万，慢建,分红稳定；现金流覆盖；资本开支周期可控；不追高,资本开支超预期；ARPU/现金流恶化；高位追分红,2026-06-29
601939,建设银行,红利现金流个股,待行情,缩量回踩或横盘止跌,股息率安全垫达标,银行错杀但资产质量稳定,银行不良率/净息差恶化暂停,初始0.5–1万，慢建,低波分红底仓；估值中低；资产质量未恶化,地产链风险恶化；净息差继续下行；银行集体破位,2026-06-29
601088,中国神华,红利现金流个股,待行情,回踩不破中期均线,股息率和煤价周期有安全垫,周期回调但现金流未恶化,煤价/政策/资本开支恶化暂停,初始0.3–0.8万，增强仓,能源红利增强；股息率安全垫；不过度追周期高点,煤价周期下行；高股息诱多；盈利高点追买,2026-06-29
000333,美的集团,质量红利个股,待行情,缩量回踩不破平台,估值安全垫+经营质量确认,消费错杀但现金流稳定,收入/利润率/现金流恶化暂停,初始0.3–0.8万，增强仓,经营现金流稳定；分红与质量兼具；估值不透支,收入增长放缓；利润率下行；高位追消费修复,2026-06-29
688012,中微公司,半导体设备卫星个股,待行情,回踩不破爆量K低点,缩量回踩至5/10日线,主线错杀但订单逻辑未坏,订单/毛利率/设备链退潮暂停,首仓0.3%–0.5%，最多1–2万,质量≥8；主线未退潮；设备龙头不破；量化验证≥8；次日转强,订单低于预期；毛利率下行；科创设备链退潮,2026-06-29
002371,北方华创,半导体设备卫星个股,待行情,回踩不破平台,缩量回踩至关键均线,主线错杀但订单逻辑未坏,估值透支或龙头走弱暂停,首仓0.3%–0.5%，最多1–2万,质量≥8；主线未退潮；平台型设备逻辑未坏；回踩确认,订单低于预期；估值透支；板块龙头同步走弱,2026-06-29
688072,拓荆科技,半导体设备卫星个股,待行情,行情字段完整后再定价,行情字段完整后再定价,行情字段完整后再定价,行情字段缺失或放量破位暂停,首仓0.3%–0.5%，先补行情,先取得完整行情；订单/客户验证继续改善；缩量回踩不破,行情字段缺失；订单或客户验证低于预期；科创设备链退潮,2026-06-29
688120,华海清科,半导体设备卫星个股,待行情,回踩不破关键支撑,缩量回踩至5/10日线,CMP链错杀但客户扩产未坏,订单/毛利率下行暂停,首仓0.3%–0.5%，最多1–2万,质量≥8；CMP设备与耗材逻辑未坏；设备链不退潮,订单下修；毛利率下行；板块退潮,2026-06-29
300308,中际旭创,AI算力卫星个股,待行情,缩量回踩不破平台,回踩至5/10日线且龙头不破,AI硬件错杀但订单未坏,AI Capex/价格战/龙头破位暂停,首仓0.3%–0.5%，最多1–2万,光模块龙头不破；800G/1.6T需求未坏；AI硬件主线未退潮,AI资本开支下修；价格战；放量破位,2026-06-29
300502,新易盛,AI算力卫星个股,待行情,缩量回踩不破平台,回踩至关键均线,AI硬件错杀但客户结构未坏,订单低于预期或估值透支暂停,首仓0.3%–0.5%，最多1–2万,产品迭代和客户结构继续改善；AI硬件链共振,订单低于预期；光模块链退潮；估值透支,2026-06-29
300394,天孚通信,AI算力卫星个股,待行情,缩量回踩不破平台,回踩至关键均线,光器件错杀但客户订单未坏,核心客户订单下修暂停,首仓0.3%–0.5%，最多1–2万,AI光通信景气延续；龙头共振；无放量滞涨,核心客户订单下修；盈利弹性下降；放量滞涨,2026-06-29
002463,沪电股份,AI算力卫星个股,待行情,缩量回踩不破平台,回踩至关键均线,AI PCB错杀但需求未坏,需求下修或毛利率下行暂停,首仓0.3%–0.5%，最多1–2万,AI服务器/交换机升级逻辑未坏；产能利用率稳定,AI服务器需求下修；PCB毛利率下行；资金退潮,2026-06-29
688008,澜起科技,AI算力卫星个股,待行情,缩量回踩不破平台,回踩至关键均线,DDR5/AI服务器逻辑未坏,产品周期不及预期暂停,首仓0.3%–0.5%，最多1–2万,DDR5与AI服务器渗透继续；估值不过度透支,产品周期不及预期；估值透支；半导体链退潮,2026-06-29
601138,工业富联,AI算力卫星个股,待行情,缩量回踩不破平台,回踩至关键均线,AI服务器订单未坏,云厂Capex/利润率恶化暂停,首仓0.3%–0.5%，最多1–2万,云厂订单和服务器出货继续；硬件链不退潮,云厂Capex下修；利润率恶化；AI硬件链退潮,2026-06-29
