Module,DataType,PrimarySource,FallbackSource,FreshnessRule,FailureBehavior,ConfigFile
分析框架,主线周期 趋势买点 爆量/量质吸 退潮三因子 全资产目标 量化验证层,投资决策分析框架 V2.8.5.docx,量化交易.docx 与上传文本,框架文件更新后需同步 Investment_Profile Framework_Rules 和年度配置,若框架与表格不一致 以最新V2.8.5-QM主线周期+量化验证+认知防错增强版为准,投资决策分析框架 V2.8.5.docx
量化验证层,指数环境 ETF买点 情绪温度 正期望 资产角色 风险监控,量化交易.docx,Framework_Rules Investment_Profile Buy_Filter,每次新增前必须输出资产角色 量化验证分/状态 正期望检查和量化风控规则,缺少量化字段或打分低于6时不得升级为标准买点,main.py
红利现金流层,红利个股配置 分红连续性 现金流覆盖 股息率安全垫 高息陷阱否决,上传文本：长期稳定分红个股配置与买点分析,Framework_Rules Investment_Profile Watchlist Buy_Filter,每次红利个股新增前必须输出红利配置角色 分红质量检查 红利买点规则和高息陷阱否决,分红率>100% 盈利/现金流恶化 举债分红 或只因快分红而买时一票否决,main.py
认知防错层,机会成本 全局最优 决策树 沉没成本 确认偏误 风险概率 反脆弱 安全边际 能力圈 复利,100个思维模型摘要与用户输入,Framework_Rules 与 Investment_Profile,每次买入前必须输出机会成本与认知防错提示,两项以上核心问题回答不清则不买,main.py
每日行情,指数 ETF A股准实时行情,AKShare,东方财富实时接口 腾讯行情接口,QuoteTime为最近0到3个自然日且最新价 开高低 昨收 昨日低点完整,写入接口状态 失败原因 重试结果；标记行情未刷新并禁止新增或数字买入区间,main.py
每日行情,20日成交额与昨日低点,东方财富日K统计,腾讯日K统计 当日低点临时替代,日K字段必须能支持量能倍数和昨日低点复核,写入接口状态和重试结果；缺失时不得自动判绿,main.py
持仓数据,券商持仓与账户汇总,positions.csv,券商截图人工录入,每次截图后人工更新总资产 可用资金 总仓位 单标的持仓,证券账户仓位只作集中度参考；买入和减仓建议不得替代第一年全资产口径,positions.csv
观察池,关注标的 角色 主题 目标仓位 质量证据,watchlist.csv,人工维护,新增标的必须补齐角色 主题 资产类型和质量证据,缺少Manual Quality Score或Quality Evidence时只能观察不得新增,watchlist.csv
长期跟踪个股,半导体设备与AI算力核心个股池,watchlist.csv 与 first_year_allocation.csv,人工维护 个股深度分析后更新质量评分,股票代码和名称需与交易所/行情接口一致；未补完整评分前只观察,进入每日行情输出但禁止自动给出新增买入结论,watchlist.csv
2030战略观察仓,比亚迪2030战略配置,上传稿 投资决策分析框架_V2.8.5_比亚迪2030战略配置完整稿.docx 与 watchlist.csv,人工维护 基本面/估值/技术三重确认后更新,现有9-10万元底仓；合格加仓后全资产上限3%；不得挤占核心ETF预算,不做T不追涨；海外/利润率/智能化/现金流恶化时暂停加仓或降级,watchlist.csv
买点计划,ETF与个股未来买点分层,buy_point_plan.csv,人工维护 每次策略更新或价格区间复盘后更新,区间只作未来复核计划；仍需当天行情 买点过滤 情绪温度 仓位纪律共同通过,禁止把计划区间当自动挂单；风险暂停条件触发时不新增,buy_point_plan.csv
人工输入,情绪温度 现金安全垫 其他人工覆盖,decision_inputs.csv,空白则使用低可靠性代理,人工值必须带来源和日期更利于复核,空白不阻断运行但会降低可靠性,decision_inputs.csv
第一年度配置,全资产目标 配置进度 收益观察区间,first_year_allocation.csv,1st年配置表.xlsx 与优化版配置表,金额目标按当前全资产动态重算,买入 减仓 再平衡建议以本表目标为主；年度缺口只表示规划空间 不构成买入信号,first_year_allocation.csv
盘前情报,隔夜海外市场行情,Yahoo Finance chart接口,query2 Yahoo备用host Stooq历史CSV 同组备用symbol,隔夜数据缺失或陈旧时必须在报告中标注并记录逐项接口尝试,不把旧数据伪装成最新情报,premarket_report/main.py
盘前情报,新闻源与政策源,premarket_report/news_sources.csv,官方网页备用入口 财联社电报API Google News站内RSS,新闻源失败需写入报告末尾的数据审计提示,继续生成报告但降级为条件式复核,premarket_report/news_sources.csv
输出审计,每日输出完整性与买入区间安全性,tools/audit_daily_output.py,人工打开检查,必须包含前台六页 规则 数据质量 组合穿透 校验页,发现空白关键列或旧行情数字区间则提示问题,tools/audit_daily_output.py
