Key,Value,AsOf,Source,Notes
mainline_stage,主线聚焦期后段/加速初期,2026-06-22,V2.8.5主线周期增强版,用于首页主线周期状态；可按每日复核人工覆盖
trend_buy_type,等待回踩买点,2026-06-22,V2.8.5主线周期增强版,回踩买点优先；突破买点仅小仓试探；止跌买点严格左侧小仓
quant_module_status,V2.8.5-Q启用-需人工复核缺失项,2026-06-24,量化交易.docx,量化只做数据验证 执行纪律 风险监控；不替代主线判断
retreat_factor_status,未见三因子共振-需人工复核,2026-06-22,V2.8.5主线周期增强版,三因子为主线证伪×资金退潮×估值透支；共振时切防守
emotion_temperature,,,,填写1-5；空白时仅使用观察池行情代理并标记低可靠性
media_heat,,,,财经媒体热度，填写1-5（可选）
community_heat,,,,社区讨论热度，填写1-5（可选）
etf_flow_heat,,,,ETF申赎热度，填写1-5（可选）
margin_heat,,,,融资余额热度，填写1-5（可选）
limit_up_heat,,,,板块涨停热度，填写1-5（可选）
cash_buffer_min,300000,,V2.8.5,全资产最低流动性安全垫
cash_buffer_target,500000,,V2.8.5,全资产目标流动性安全垫
