AllocationKey,Label,AssetLayer,TargetWeight,SourceTargetAmount,SourceCurrentAmount,TargetReturnLow,TargetReturnHigh,Status,Codes,ExecutionConstraint,Source,SourceAsOf
semiconductor,半导体设备ETF 159516,核心成长,0.10,478300,153680,0.20,0.30,第一核心候选,159516,机会成本第一优先+主线周期未退潮+质量评分≥8+量化验证分≥8+爆量后缩量回踩不破+龙头不破+份额未连续赎回+次日转强+反证检查,V2.8.5-QM量化验证与认知防错增强版,2026-06-29
robotics,机器人ETF 562500,核心成长,0.08,382640,130265,0.18,0.25,核心持有,562500,证券账户局部偏高但全资产不高+持有不加+不因盈利回吐恐惧乱卖+不因回调直接补仓+止跌三部曲后复审+量化验证重新通过前不新增,V2.8.5-QM量化验证与认知防错增强版,2026-06-29
chinext_ai,创业板人工智能ETF 159381,核心成长,0.07,334810,56320,0.20,0.30,AI硬件增强仓,159381,机会成本低于159516+反确认偏误检查+不追研报催化高开+光模块/CPO/AI芯片龙头缩量企稳后回踩确认+正期望优于A500/可转债,V2.8.5-QM量化验证与认知防错增强版,2026-06-29
innovative_medicine,创新药ETF,核心观察,0.03,143490,4870,0.15,0.25,待建仓,588700,四证据模型+价格提醒后二次确认+证券账户上限,V2.8.5主线周期增强版,2026-06-29
quality_stock_basket,AI/半导体高质量个股篮子,核心成长,0.03,143490,0,0.25,0.35,长期跟踪池,688012|002371|688072|688120|300308|300502|300394|002463|688008|601138,能力圈内小仓验证+个股机会成本高于核心ETF+质量评分≥8+主线未退潮+量化验证分≥8+爆量后缩量回踩+不破爆量K低点+无放量滞涨+情绪≤4+首仓0.3%-0.5%,V2.8.5-QM量化验证与认知防错增强版,2026-06-24
a500_low_vol,中证A500ETF,低波权益,0.10,478300,104374,0.06,0.10,低波权益底仓,159338|510210,宽基合并统计+避免A500与上证ETF重复暴露+按配置节奏分批+不在指数大涨日追买+不计入现金安全垫,V2.8.5-QM量化验证与认知防错增强版,2026-06-29
dividend_low_vol,红利低波ETF,低波权益,0.05,239150,57717,0.05,0.08,红利低波ETF底仓,512890,不计入现金安全垫+与红利个股合计慢建+遵守买点与账户上限+市场下跌抗跌/权重稳定/缩量回踩时分批,V2.8.5-QM红利现金流增强版,2026-06-29
dividend_cashflow_stocks,长期稳定分红个股篮子,低波现金流,0.05,239150,7220,0.05,0.10,红利现金流个股观察池,600900|600941|601398|601939|601088|000333,先建观察池不追高+分红连续性≥5年+经营现金流覆盖分红+分红率30%-75%优先+股息率安全垫达标+估值历史中低位+缩量回踩/横盘止跌+高息陷阱一票否决,V2.8.5-QM红利现金流增强版,2026-06-29
convertible_bond,可转债ETF,弹性低波,0.10,478300,37650,0.06,0.10,弹性低波配置,511180,不计入现金安全垫+每次小额分批+不在转债大涨日追+用于缓冲和反弹弹性,V2.8.5-QM量化验证与认知防错增强版,2026-06-29
pure_defense,现金/货基/国债ETF/逆回购,纯防御层,0.36,1721880,278533,0.02,0.04,安全垫显式保留,CASH|511010,纯防御层不能降为0；CASH代表证券账户可用现金；国债ETF可计入防御层和现金安全垫；红利个股不是现金安全垫；不因短期跑输科技而切走,V2.8.5-QM红利现金流增强版,2026-06-29
byd_2030_strategy,比亚迪2030战略观察仓,战略观察,0.03,143490,87604,0.00,0.00,现有底仓观察,002594,现有9-10万元作为2030底仓+不做T不追涨+基本面确认/估值安全垫/技术买点同时通过后才小额加仓+合格加仓后全资产上限3%+不得挤占半导体设备/AI硬件核心ETF预算,V2.8.5比亚迪2030战略配置完整稿,2026-06-29
tactical_opportunity,战术机会仓,战术仓,0,0,0,0.15,0.30,暂由比亚迪战略观察仓占用,,单日仅一个买入方向+严格止损与退出+不得侵蚀核心与防御层；待防御层和核心仓稳定后再恢复独立战术额度,V2.8.5比亚迪2030战略配置完整稿,2026-06-29
cloud_transition,云计算ETF,过渡仓,0,0,59940,0.00,0.00,反弹后降级,516630,机会成本低于159516和159381+不能因名字带AI就当核心AI+不主动加仓+反弹压缩+量化验证重新强于159381前不升级,V2.8.5-QM量化验证与认知防错增强版,2026-06-29
new_energy_legacy,绿电ETF遗留仓,遗留仓,0,0,45200,0.00,0.00,压降释放资金,562550,沉没成本不构成补仓理由+遗留仓不加仓+反弹减+释放资金转向核心主线/红利现金流观察和现金等待买点+只做风险监控不做买点新增,V2.8.5比亚迪2030战略配置完整稿,2026-06-29
